Processes: 657 total, 2 running, 655 sleeping, 2330 threads 
2023/06/10 02:44:39
Load Avg: 1.84, 1.65, 1.65 
CPU usage: 3.36% user, 7.43% sys, 89.20% idle 
SharedLibs: 933M resident, 133M data, 79M linkedit.
MemRegions: 267631 total, 8214M resident, 389M private, 3231M shared.
PhysMem: 32G used (3430M wired, 578M compressor), 288M unused.
VM: 32T vsize, 3409M framework vsize, 14784(0) swapins, 16256(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
23991  top              0.0  00:00.47 1/1    0   16     3980K  0B     0B     23991 23654 running  *0[1]       0.00000 0.00000    0   2140     117     591081    295540    2804      299917    41         3       0     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
23959  mdworker_shared  0.0  00:00.07 4      1   53     1188K  0B     0B     23959 1     sleeping *0[1]       0.00000 0.00000    501 5792     196     622       279       1257      588       77         18      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23829  less             0.0  00:00.00 1      0   12     660K   0B     0B     23813 23826 sleeping *0[1]       0.00000 0.00000    501 500      82      32        16        652       72        31         7       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23826  bash             0.0  00:00.00 1      0   8      456K   0B     0B     23813 23813 sleeping *0[1]       0.00000 0.00000    501 387      211     16        8         51        18        3          0       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23813  bash             0.0  00:00.01 1      0   12     904K   0B     0B     23813 13207 sleeping *0[1]       0.00000 0.00000    501 1560     577     72        36        2874      139       22         7       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23753  com.apple.WebKit 0.0  00:00.08 2      1   66     4276K  0B     0B     23753 1     sleeping  0[5]       0.00000 0.00000    501 6870     353     4097      2015      1714      3382      346        4       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23751  MTLCompilerServi 0.0  00:00.05 2      1   36     6568K  0B     0B     23751 1     sleeping *0[3]       0.00000 0.00000    501 5362     431     141       49        711       328       96         68      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23750  com.apple.WebKit 0.0  00:00.44 3      1   85     19264K 6804K  0B     23750 1     sleeping  0[566]     0.00000 0.00000    501 17011    459     7757      4113      12441     21195     6630       37      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23654  zsh              0.0  00:00.07 1      0   22     1012K  0B     0B     23654 5754  sleeping *0[1]       0.00000 0.00000    501 8718     5495    282       135       8767      301       606        10      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23632  MTLCompilerServi 0.0  00:00.06 2      1   36     7780K  0B     0B     23632 1     sleeping *0[4]       0.00000 0.00000    501 5823     431     144       51        722       350       130        68      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23626  com.apple.WebKit 0.0  00:00.21 3      1   84     14464K 3604K  0B     23626 1     sleeping *0[199]     0.00000 0.00000    501 12397    456     5499      2617      5041      8623      1972       40      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23462  com.apple.WebKit 0.0  00:03.13 3      1   84     55444K 35084K 0B     23462 1     sleeping  0[3168]    0.00000 0.00000    501 46865    466     37517     21516     65364     115638    37446      40      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
23461  com.apple.WebKit 0.0  00:00.09 3      1   82     5448K  0B     0B     23461 1     sleeping  0[13]      0.00000 0.00000    501 8392     430     4381      2173      2650      4168      474        3       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
